},손실
loss,조치를 취하다
take action,파괴적인;  멈청난
devastating,메너지 효율이 좋은
energy-efficient,안정시키다
stabilize,명상(묵상)하다
fountain,…을 섭취(흡수)하다
toxic,"나들이, 소풍"
meditate,(만약) 그렇지 않으면) (와는
take in,소개하다; 도입하다
outing,미전에
otherwise,입양하다; 채택하다
introduce,금융(재정)의
previously,"원조, 지원"
adopt,"추구하다, 밀고 나가다(해 나가다)"
financial,협상(교섭)하다
aid,무슨 수를 써서라도
pursue,…에 쿨복하다
perspective,"선례, 판례; 전례"
paralyze,"사실상, 거의"
captive,
lie in the balance,
negotiate,
at all costs,
give in to,
Precedent,
practically,
fund-raising,
firm,
