loss,손실
take action,조치를 취하다
devastating,파괴적인; 엄청난
energy-efficient,에너지 효율이 좋은
stabilize,안정시키다
fountain,분수; 원천
toxic,"유독한, 처명적인"
meditate,명상(묵상)하다
take in,…을 섭취(흡수)하다
outing,"나들이, 소풍"
otherwise,(만약) 그렇지 않으면
introduce,소개하다; 도입하다
previously,이전에
adopt,입양하다; 채택하다
financial,금융(재정)의
aid,"원조, 지원"
pursue,"추구하다, 밀고 나가다(해 나가다!"
perspective,"관점, 시각"
paralyze,마비시키다; 무력(무능)하게 하다
captive,"포로, 사로잡힌 사람"
lie in the balance,"극히 불안정한 상태에 있다, 위기에 처하다"
negotiate,협상(교섭)하다
at all costs,무슨 수를 써서라도
give in to,…에 굴복하다
Precedent,"선례, 판례; 전례"
practically,"사실상, 거의"
fund-raising,
firm,
